Mission ID,Mission,Status,Launch Date,Landing location,latitude,longitude,Landing date
mid-1,Artemis 2,confirmed,November 2024,orbit,,,
mid-2,Artemis 3,confirmed,December 2025,South pole,-90,0,
mid-3,Artemis 4,confirmed,September 2028,South pole,-90,0,
mid-4,Artemis 5,confirmed,September 2029,tbd,,,
mid-5,Artemis 6,confirmed,September 2030,tbd,,,
mid-6,Astrobotic mission 3,confirmed,2026,tbd,,,
mid-7,Autonomous Impactor for Lunar Exploration,proposed,TBD,tbd,,,
mid-8,Beresheet 2,confirmed,2025,Tbd,,,
mid-9,Blue Ghost M1,confirmed,Q3 2024,Mare Crisium,17,59.1,
mid-10,Blue Ghost M2,confirmed,2026,Far side,,,
mid-11,BOLAS,proposed,TBD,Orbit,,,
mid-12,Chandrayaan-3,confirmed,13 July 2023 09:00,south east,-69.367621,-32.348126,23 August 2023
mid-13,Chandrayaan-5,proposed,2025-30,tbd,,,
mid-14,Chandryaan-6,proposed,2030-35,tbd,,,
mid-15,Chang'e 6,confirmed,May 2024,Southern edge of Apollo Basin,-43,154,
mid-16,Chang'e 7,confirmed,2026,"Southeastern of Shackleton crater

",-88.8,-123.4,
mid-17,Chang'e 8,confirmed,2028,tbd,,,
mid-18,Chinese crewed lunar mission 1,confirmed,2030,tbd,,,
mid-19,dearMoon project,confirmed,Q4 2024,flyby,,,
mid-20,Starship HLS Demo mission,confirmed,Q4 2024,flyby,,,
mid-21,DESTINY+,confirmed,2024,flyby,,,
mid-22,Doge-1,confirmed,Q3 2023,orbit,,,
mid-23,FLEX,confirmed,2026,tbd,,,
mid-24,Garatéa-L,proposed,2025,orbit,,,
mid-25,Griffin Mission 1,confirmed,November 2024,tbd,,,
mid-26,Hakuto-R Mission 2,confirmed,2024,tbd,,,
mid-27,HERACLES,confirmed,TBD,tbd,,,
mid-28,ILRS 1-5,proposed,2026 - 2035,tbd,,,
mid-29,IM-1,confirmed,Q3 2023,Malapert,84.9,12.9,
mid-30,IM-2,confirmed,December 2023,South pole,-90,0,
mid-31,IM-3,confirmed,Q2 2024,Reiner Gamma,,,
mid-32,LSAS lander,proposed,2025,tbd,,,
mid-33,Luna 25,confirmed,10 August 2023,Boguslawsky,-72.9,-43.2,
mid-34,Luna 26,confirmed,2027,orbit,,,
mid-35,Luna 27,confirmed,2028,South Pole–Aitken basin,-53,169,
mid-36,Luna 28,proposed,2027,South pole,-90,0,
mid-37,Luna 29,proposed,2028,tbd,,,
mid-38,Lunar Crater Radio Telescope,proposed,TBD,Far side,,,
mid-39,Lunar Polar Exploration Mission,proposed,2025,South polar region,-90,0,
mid-40,Lunar space elevator,proposed,TBD,tbd,,,
mid-41,Lunar Trailblazer,proposed,2026,tbd,,,
mid-42,Lunar zebro,proposed,2026,tbd,,,
mid-43,LVICE²,proposed,TBD,tbd,,,
mid-44,M1,confirmed,2029,tbd,,,
mid-45,Mission One,confirmed,Q4 2023,Gruithuisen Gamma,36.56,40.72,
mid-46,Parsec lunar satellites,proposed,2025,tbd,,,
mid-47,Phase 2 of the Korean lunar exploration program,proposed,2030,,,,
mid-48,PPE and HALO,confirmed,November 2024,lunar gateway,,,
mid-49,Queqiao 2,confirmed,Q4 2023,,,,
mid-50,SERIES 2,confirmed,2025,,,,
mid-51,SHEPRA-ES mission,confirmed,December 2023,orbit,,,
mid-52,SLIM,confirmed,August 2023,Marius Hills ,11.9,50.8,
mid-53,SpaceX GLS-1,confirmed,2028,,,,
mid-54,Starship cargo mission,confirmed,2026,lunar gateway,,,
mid-55,Uncrewed Demo mission ,confirmed,2028,,,,
mid-56,VIPER rover,confirmed,November 2024,Nobile,-85.2,-53.5,
mid-57,Zeus,proposed,2030,,,,
